ID,日期,累计确诊,当日确证人数,当日重症,境外输入,无症状感染者,疑似病例,治愈人数,死亡人数,治愈率,死亡率
1,01.13,41,0,0,0,0,0,0,1,0.0,2.4
2,01.14,41,0,0,0,0,0,0,1,0.0,2.4
3,01.15,41,0,0,0,0,0,5,2,12.2,4.9
4,01.16,45,0,0,0,0,0,8,2,17.8,4.4
5,01.17,62,0,0,0,0,0,12,2,19.4,3.2
6,01.18,198,0,0,0,0,0,17,3,8.6,1.5
7,01.19,275,0,0,0,0,0,18,4,6.5,1.5
8,01.20,291,291,0,0,0,54,25,6,8.6,2.1
9,01.21,440,431,0,0,0,37,25,9,5.7,2.0
10,01.22,574,557,0,0,0,393,25,17,4.4,3.0
11,01.23,835,776,0,0,0,1072,34,25,4.1,3.0
12,01.24,1297,1218,0,0,0,1965,38,41,2.9,3.2
13,01.25,1985,1880,324,0,0,2684,49,56,2.5,2.8
14,01.26,2761,2630,461,0,0,5794,51,80,1.8,2.9
15,01.27,4535,4369,976,0,0,6973,60,106,1.3,2.3
16,01.28,5997,5762,1239,0,0,9239,103,132,1.7,2.2
17,01.29,7736,7442,1370,0,0,12167,124,170,1.6,2.2
18,01.30,9720,9336,1527,0,0,15238,171,213,1.8,2.2
19,01.31,11821,11319,1795,0,0,17988,243,259,2.1,2.2
20,02.01,14411,13779,2110,0,0,19544,328,304,2.3,2.1
21,02.02,17238,16402,2296,0,0,21558,475,361,2.8,2.1
22,02.03,20471,19414,2788,0,0,23214,632,425,3.1,2.1
23,02.04,24363,22980,3219,0,0,23260,892,491,3.7,2.0
24,02.05,28060,26343,3859,0,0,24702,1153,564,4.1,2.0
25,02.06,31211,29032,4821,0,0,26359,1542,637,4.9,2.0
26,02.07,34598,31823,6101,0,0,27657,2052,723,5.9,2.1
27,02.08,37251,33788,6188,0,0,28942,2651,812,7.1,2.2
28,02.09,40235,36043,6484,0,0,23589,3283,909,8.2,2.3
29,02.10,42708,37693,7333,0,0,21675,3998,1017,9.4,2.4
30,02.11,44730,38874,8204,0,0,16067,4742,1114,10.6,2.5
31,02.12,59882,52599,8030,0,0,13435,5915,1368,9.9,2.3
32,02.13,63932,55823,10204,0,0,10109,6728,1381,10.5,2.2
33,02.14,66576,56951,11053,0,0,8969,8101,1524,12.2,2.3
34,02.15,68584,57493,11272,0,0,8228,9425,1666,13.7,2.4
35,02.16,70635,58010,10644,0,0,7264,10853,1772,15.4,2.5
36,02.17,72528,58097,11741,0,0,6242,12561,1870,17.3,2.6
37,02.18,74279,57886,11977,0,0,5248,14387,2006,19.4,2.7
38,02.19,75002,56386,11864,0,0,4922,16157,2121,21.5,2.8
39,02.20,75993,55051,11633,0,0,5206,18266,2239,24.0,2.9
40,02.21,76392,53371,11477,0,0,5365,20673,2348,27.1,3.1
41,02.22,77041,51689,10968,0,0,4148,22907,2445,29.7,3.2
42,02.23,77262,49910,9915,0,0,3434,24757,2595,32.0,3.4
43,02.24,77779,47760,9126,0,0,2824,27353,2666,35.2,3.4
44,02.25,78190,45697,8752,0,0,2491,29775,2718,38.1,3.5
45,02.26,78630,43352,8346,0,0,2358,32531,2747,41.4,3.5
